coverage_id,coverage_kind,source_id,flow_family,action_name,template_ids,state_profile,viewport_profile,mode_profile,success_or_expected_state,error_empty_pending_state,recovery,linked_tests,gate,browser_profile,time_limit_branch
"COV-ACT-45","action","ACT-45","STAFF_PUBLICATION_OPERATIONS","Decline text conversation","TPL-HUMAN-HANDOFF;TPL-STAFF-WORK-DETAIL","SP-STAFF-WORK","VP-STAFF","MP-STAFF","Durable declined or reassignment-needed state","Pending stale unauthorized or already resolved","Refresh; approved reassignment/closure later; never delete request","UXTEST-032","Decline reason reassignment and closure policy","BP-NFR-006","TL-WARN-EXTEND"
"COV-ACT-46","action","ACT-46","STAFF_PUBLICATION_OPERATIONS","End text conversation","TPL-HUMAN-HANDOFF;TPL-STAFF-WORK-DETAIL","SP-STAFF-WORK","VP-STAFF","MP-STAFF","Durable ended state once","Ending pending session or retention conflict","Status check; preserve active/ended truth; Book/Contact remains","UXTEST-032","End reason retention and visitor copy","BP-NFR-006","TL-WARN-EXTEND"
"COV-ACT-47","action","ACT-47","STAFF_PUBLICATION_OPERATIONS","Retry failed alert","TPL-STAFF-QUEUE;TPL-STAFF-WORK-DETAIL","SP-STAFF-WORK","VP-STAFF","MP-STAFF","Alert delivered or exception closed without core-state change","Adapter unavailable retry pending or no exceptions","Retry/escalate later; handoff/booking truth preserved","UXTEST-033","Alert adapter retry escalation recipient and limits","BP-NFR-006","TL-WARN-EXTEND"
"COV-ACT-48","action","ACT-48","STAFF_PUBLICATION_OPERATIONS","Assign or reassign work","TPL-STAFF-QUEUE;TPL-STAFF-WORK-DETAIL","SP-STAFF-WORK","VP-STAFF","MP-STAFF","One current eligible assignment","Stale conflict no eligible assignee or unauthorized","Refresh or hold; approved escalation; no invented availability","UXTEST-034","Role assignment eligibility owner backup reason and escalation","BP-NFR-006","TL-WARN-EXTEND"
"COV-ACT-49","action","ACT-49","STAFF_PUBLICATION_OPERATIONS","Reconcile booking","TPL-STAFF-QUEUE;TPL-STAFF-WORK-DETAIL;TPL-BOOKING-RECONCILIATION","SP-STAFF-WORK","VP-STAFF","MP-STAFF","Local and external state agree truthfully","Ambiguous provider unavailable mismatch or no exceptions","Refresh compare or approved retry after ambiguity; preserve last truth","UXTEST-035","Provider contract roles and reconciliation operations","BP-NFR-006","TL-WARN-EXTEND"
"COV-ACT-50","action","ACT-50","STAFF_PUBLICATION_OPERATIONS","Handle booking exception","TPL-STAFF-QUEUE;TPL-STAFF-WORK-DETAIL","SP-STAFF-WORK","VP-STAFF","MP-STAFF","Invariant restored or exception held/escalated","Pending unauthorized or unsupported resolution","Approved bounded repair/escalation; never hide duplicate or unknown","UXTEST-035","Exception taxonomy repair authority and escalation","BP-NFR-006","TL-WARN-EXTEND"
"COV-ACT-51","action","ACT-51","STAFF_PUBLICATION_OPERATIONS","Record evidence or SEO review","TPL-STAFF-QUEUE;TPL-PUBLICATION-REVIEW-RELEASE","SP-PUBLICATION","VP-STAFF","MP-STAFF","Specialist pass or changes on exact candidate","Self-review stale unauthorized missing evidence or no candidate","Deny; refresh; return candidate; no activation","UXTEST-027;UXTEST-036","Review roles evidence checklist findings and reassignment","BP-NFR-006","TL-WARN-EXTEND"
"COV-ACT-52","action","ACT-52","STAFF_PUBLICATION_OPERATIONS","Record knowledge review","TPL-STAFF-QUEUE;TPL-PUBLICATION-REVIEW-RELEASE","SP-PUBLICATION","VP-STAFF","MP-STAFF","Grounding bundle passed or changes requested","Draft private defense stale missing source unauthorized or empty","Fail closed; return to release workflow; no publication/activation","UXTEST-028;UXTEST-036","Knowledge bundle provider/review policy and roles","BP-NFR-006","TL-WARN-EXTEND"
"COV-ACT-53","action","ACT-53","STAFF_PUBLICATION_OPERATIONS","Inspect audit","TPL-AUDIT-INSPECTION","SP-AUDIT","VP-STAFF","MP-STAFF","Authorized redacted event chain visible","Index loading unavailable integrity gap no results or unauthorized","Durable retrieval; refine retry escalate; inspection audited; no edit/delete","UXTEST-037","Audit schema redaction retention export and owner","BP-NFR-006","TL-WARN-EXTEND"
"COV-EXCL-WORLD","exclusion","EXCL-WORLD","WORLD_HUD_FALLBACK","Optional immersive shell is nonindexable and never required","TPL-WORLD-SHELL;TPL-WORLD-HUD;TPL-QUICK-ACCESS-RECOVERY","SP-WORLD","VP-WORLD","MP-WORLD","Noindex World uses same release and canonical links","Canvas WebGL or asset failure and any 3D-only action are invalid","Quick Access retaining safe route/service context","UXTEST-002;UXTEST-003;UXTEST-007","No route activation or 3D production","BP-NFR-006","TL-REMOVABLE-ADJUSTABLE"
"COV-EXCL-ADMIN","exclusion","EXCL-ADMIN","AUTH_SESSION_PERMISSION","Authenticated staff utility with server-enforced roles","TPL-STAFF-AUTH;TPL-STAFF-QUEUE;TPL-SYSTEM-RECOVERY","SP-AUTH","VP-STAFF","MP-STAFF","Authorized staff sees only permitted tasks","Signed-out forbidden expired missing/ambiguous role and private-state leakage","Sign in reauthenticate safe denied response or approved break glass","UXTEST-002;UXTEST-027;UXTEST-037","Exact roles routes auth and security controls","BP-NFR-006","TL-WARN-EXTEND"
"COV-EXCL-NONPUBLIC-PUBLICATION","exclusion","EXCL-NONPUBLIC-PUBLICATION","STAFF_PUBLICATION_OPERATIONS","Preview draft and rejected surfaces remain authorized and conspicuously nonpublic","TPL-PUBLICATION-EDITOR;TPL-PUBLICATION-REVIEW-RELEASE;TPL-SYSTEM-RECOVERY","SP-PUBLICATION","VP-STAFF","MP-STAFF","Authorized preview retains draft marker and current candidate version","Public access search AI or 3D exposure is a failure","Return to staff queue; non-disclosing public response; previous release remains active","UXTEST-002;UXTEST-028;UXTEST-029","Role/publication/release architecture","BP-NFR-006","TL-WARN-EXTEND"
"COV-EXCL-CHAT-SESSIONS","exclusion","EXCL-CHAT-SESSIONS","AI","Private ephemeral or consent-governed session state","TPL-AI-CONCIERGE;TPL-QUICK-ACCESS-RECOVERY","SP-AI","VP-INTERACTIVE","MP-INTERACTIVE","Valid session resumes under approved policy","Expired invalid unavailable or privacy mismatch does not expose content","New ephemeral AI available human Contact or Book","UXTEST-002;UXTEST-009;UXTEST-011","Retention consent session and provider policy","BP-NFR-006","TL-WARN-EXTEND"
"COV-EXCL-INTERNAL-SEARCH","exclusion","EXCL-INTERNAL-SEARCH","NAVIGATION_SEARCH","Nonindexable search utility with clean canonical result links","TPL-DIRECTORY-SEARCH;TPL-QUICK-ACCESS-RECOVERY","SP-NAVIGATION","VP-INTERACTIVE","MP-INTERACTIVE","Approved utility returns browse or clean results without URL-carried query","Unknown path no results index unavailable or stale checksum","Clear; static directory; clean canonical; unknown path 404","UXTEST-002;UXTEST-008;UXTEST-030","Search URL/query/provider policy","BP-NFR-006","TL-NOT-APPLICABLE"
"COV-EXCL-TRACKING-PARAMETERS","exclusion","EXCL-TRACKING-PARAMETERS","NAVIGATION_SEARCH","Recognized tracking parameters never create separate route state","TPL-GLOBAL-NAVIGATION;TPL-SYSTEM-RECOVERY","SP-PUBLIC-DOCUMENT","VP-PUBLIC","MP-PUBLIC","Same truthful clean document and clean first-party links","Unlisted parameter or missing/retired clean route cannot become 200","Strip allowlisted parameter only; require decision for unknown parameter","UXTEST-002;UXTEST-004","Parameter allowlist privacy and route behavior","BP-NFR-006","TL-NOT-APPLICABLE"
"COV-EXCL-FILTER-SORT-VARIANTS","exclusion","EXCL-FILTER-SORT-VARIANTS","NAVIGATION_SEARCH","No URL-backed filter or sort state is approved","TPL-DIRECTORY-SEARCH;TPL-SYSTEM-RECOVERY","SP-NAVIGATION","VP-INTERACTIVE","MP-INTERACTIVE","Local UI filter/sort state only when a host collection defines it","Unapproved variant is 404 and has no canonical","Return to clean collection or directory","UXTEST-002;UXTEST-008","Any future parameter allowlist and state","BP-NFR-006","TL-NOT-APPLICABLE"
"COV-EXCL-STAGING","exclusion","EXCL-STAGING","STAFF_PUBLICATION_OPERATIONS","Restricted candidate evidence with no public discovery","TPL-PUBLICATION-REVIEW-RELEASE;TPL-STAFF-AUTH;TPL-SYSTEM-RECOVERY","SP-PUBLICATION","VP-STAFF","MP-STAFF","Authorized candidate review remains clearly nonpublic","Unauthorized or public discovery is denied without leaking candidate detail","Authenticate or return to production canonical only after approval","UXTEST-002;UXTEST-028;UXTEST-029","Environment access release activation and external deployment","BP-NFR-006","TL-WARN-EXTEND"
"COV-EXCL-DEFENSE","exclusion","EXCL-DEFENSE","ERROR_OFFLINE_RECOVERY","Defense routes/content are absent rather than disabled or teased","TPL-SYSTEM-RECOVERY;TPL-AI-CONCIERGE","SP-SYSTEM-RECOVERY","VP-PUBLIC","MP-PUBLIC","No public render sitemap search AI knowledge or ordinary visitor flow","Any detail disclosure route teaser result or answer is failure","General services Contact or Book; secure route only after MA-011","UXTEST-002;UXTEST-010;UXTEST-028","MA-011 exact founder legal and security approval","BP-NFR-006","TL-WARN-EXTEND"
"COV-WAY-WING-AI-DATA","wayfinding","WING-AI-DATA","WORLD_HUD_FALLBACK","AI + Data maps to AI Data & Automation wing and ROUTE-WING-AI-DATA","TPL-SERVICE-WING;TPL-WORLD-SHELL;TPL-WORLD-HUD","SP-WORLD","VP-WORLD","MP-WORLD","Exact sign formal/accessibility title route path room ID ordinal and four release states","Closed held opening and open remain visually and semantically distinct","Canonical Quick Access remains when active; nonpublic opening never implies launch","UXTEST-003;UXTEST-038","Wing content release and active route","BP-NFR-006","TL-REMOVABLE-ADJUSTABLE"
"COV-WAY-ROOM-AI-AUTOMATION","wayfinding","ROOM-AI-AUTOMATION","WORLD_HUD_FALLBACK","AI + Automation maps to AI Systems & Agentic Automation","TPL-SERVICE-DETAIL;TPL-WORLD-SHELL;TPL-WORLD-HUD","SP-WORLD","VP-WORLD","MP-WORLD","Exact sign/title/route/room/ordinal and closed held opening open variants","Any abbreviation-only accessible name or premature open claim fails","Canonical Quick Access and full formal title remain","UXTEST-003;UXTEST-038","Service content evidence AI/security review and room activation","BP-NFR-006","TL-REMOVABLE-ADJUSTABLE"
"COV-WAY-ROOM-DATA-ANALYTICS","wayfinding","ROOM-DATA-ANALYTICS","WORLD_HUD_FALLBACK","Data + Analytics maps to Data Platforms & Analytics","TPL-SERVICE-DETAIL;TPL-WORLD-SHELL;TPL-WORLD-HUD","SP-WORLD","VP-WORLD","MP-WORLD","Exact sign/title/route/room/ordinal and closed held opening open variants","Any abbreviation-only accessible name or premature open claim fails","Canonical Quick Access and full formal title remain","UXTEST-003;UXTEST-038","Service content evidence owner and room activation","BP-NFR-006","TL-REMOVABLE-ADJUSTABLE"
"COV-WAY-WING-STRATEGY","wayfinding","WING-STRATEGY","WORLD_HUD_FALLBACK","Strategy maps to Strategy & Transformation wing and ordinal 2","TPL-SERVICE-WING;TPL-WORLD-SHELL;TPL-WORLD-HUD","SP-WORLD","VP-WORLD","MP-WORLD","Exact sign/title/route/room/ordinal/prerequisite and four release states","Open before ordinal 1 or abbreviation-only accessible name fails","Canonical Quick Access remains; hold until earlier ordinal and active release","UXTEST-003;UXTEST-038","Earlier wing/content/release prerequisite","BP-NFR-006","TL-REMOVABLE-ADJUSTABLE"
"COV-WAY-ROOM-STRATEGY-ARCHITECTURE","wayfinding","ROOM-STRATEGY-ARCHITECTURE","WORLD_HUD_FALLBACK","Strategy + Architecture maps to Strategy & Architecture","TPL-SERVICE-DETAIL;TPL-WORLD-SHELL;TPL-WORLD-HUD","SP-WORLD","VP-WORLD","MP-WORLD","Exact sign/title/route/room/ordinal and four release states","Premature open or missing formal title/canonical link fails","Canonical Quick Access and full formal title remain","UXTEST-003;UXTEST-038","Service content evidence owner and room activation","BP-NFR-006","TL-REMOVABLE-ADJUSTABLE"
"COV-WAY-WING-IMMERSIVE-CREATIVE","wayfinding","WING-IMMERSIVE-CREATIVE","WORLD_HUD_FALLBACK","Immersive + Creative maps to Immersive & Creative wing and ordinal 3","TPL-SERVICE-WING;TPL-WORLD-SHELL;TPL-WORLD-HUD","SP-WORLD","VP-WORLD","MP-WORLD","Exact sign/title/route/room/ordinal/prerequisite and four release states","Open before ordinals 1-2 or abbreviation-only accessible name fails","Canonical Quick Access remains; hold until prerequisites and active release","UXTEST-003;UXTEST-038","Earlier wings/content/release prerequisite","BP-NFR-006","TL-REMOVABLE-ADJUSTABLE"
"COV-WAY-ROOM-SPATIAL-IMMERSIVE","wayfinding","ROOM-SPATIAL-IMMERSIVE","WORLD_HUD_FALLBACK","Spatial + Immersive maps to Spatial Computing & Immersive Platforms","TPL-SERVICE-DETAIL;TPL-WORLD-SHELL;TPL-WORLD-HUD","SP-WORLD","VP-WORLD","MP-WORLD","Exact sign/title/route/room/ordinal and four release states","Premature open or missing formal title/non-WebGL route fails","Canonical Quick Access and full formal title remain","UXTEST-003;UXTEST-038","Service content performance accessibility evidence and room activation","BP-NFR-006","TL-REMOVABLE-ADJUSTABLE"
"COV-WAY-ROOM-CREATIVE-VISUAL","wayfinding","ROOM-CREATIVE-VISUAL","WORLD_HUD_FALLBACK","Creative + Visual maps to Creative & Visual Design Services","TPL-SERVICE-DETAIL;TPL-WORLD-SHELL;TPL-WORLD-HUD","SP-WORLD","VP-WORLD","MP-WORLD","Exact sign/title/route/room/ordinal and four release states","Premature open or missing formal title/canonical link fails","Canonical Quick Access and full formal title remain","UXTEST-003;UXTEST-038","New content licensed proof owner and room activation","BP-NFR-006","TL-REMOVABLE-ADJUSTABLE"
"COV-WAY-WING-DIGITAL-GROWTH","wayfinding","WING-DIGITAL-GROWTH","WORLD_HUD_FALLBACK","Digital + Growth maps to Digital Products & Growth wing and ordinal 4","TPL-SERVICE-WING;TPL-WORLD-SHELL;TPL-WORLD-HUD","SP-WORLD","VP-WORLD","MP-WORLD","Exact sign/title/route/room/ordinal/prerequisite and four release states","Open before ordinals 1-3 or abbreviation-only accessible name fails","Canonical Quick Access remains; hold until prerequisites and active release","UXTEST-003;UXTEST-038","Earlier wings/content/release prerequisite","BP-NFR-006","TL-REMOVABLE-ADJUSTABLE"
"COV-WAY-ROOM-PLATFORM-PRODUCT","wayfinding","ROOM-PLATFORM-PRODUCT","WORLD_HUD_FALLBACK","Platforms + Products maps to Platform & Product Engineering","TPL-SERVICE-DETAIL;TPL-WORLD-SHELL;TPL-WORLD-HUD","SP-WORLD","VP-WORLD","MP-WORLD","Exact sign/title/route/room/ordinal and four release states","Premature open or missing formal title/canonical link fails","Canonical Quick Access and full formal title remain","UXTEST-003;UXTEST-038","Service content evidence owner and room activation","BP-NFR-006","TL-REMOVABLE-ADJUSTABLE"
"COV-WAY-ROOM-PRODUCT-EXPERIENCE","wayfinding","ROOM-PRODUCT-EXPERIENCE","WORLD_HUD_FALLBACK","Product Experience maps to Product Design & Experience Engineering","TPL-SERVICE-DETAIL;TPL-WORLD-SHELL;TPL-WORLD-HUD","SP-WORLD","VP-WORLD","MP-WORLD","Exact sign/title/route/room/ordinal and four release states","Premature open truncation or abbreviation-only accessible name fails","Canonical Quick Access and full formal title remain","UXTEST-003;UXTEST-038","Service content evidence owner and room activation","BP-NFR-006","TL-REMOVABLE-ADJUSTABLE"
"COV-WAY-ROOM-COMMERCE-GROWTH","wayfinding","ROOM-COMMERCE-GROWTH","WORLD_HUD_FALLBACK","Commerce + Growth maps to Commerce Content & Growth Platforms","TPL-SERVICE-DETAIL;TPL-WORLD-SHELL;TPL-WORLD-HUD","SP-WORLD","VP-WORLD","MP-WORLD","Exact sign/title/route/room/ordinal and four release states","Premature open or missing formal title/canonical link fails","Canonical Quick Access and full formal title remain","UXTEST-003;UXTEST-038","Service content evidence owner and room activation","BP-NFR-006","TL-REMOVABLE-ADJUSTABLE"
"COV-WAY-WING-CLOUD-TRUST","wayfinding","WING-CLOUD-TRUST","WORLD_HUD_FALLBACK","Cloud + Trust maps to Cloud Reliability & Trust wing and ordinal 5","TPL-SERVICE-WING;TPL-WORLD-SHELL;TPL-WORLD-HUD","SP-WORLD","VP-WORLD","MP-WORLD","Exact sign/title/route/room/ordinal/prerequisite and four release states","Open before ordinals 1-4 or abbreviation-only accessible name fails","Canonical Quick Access remains; hold until prerequisites and active release","UXTEST-003;UXTEST-038","Earlier wings/content/release prerequisite","BP-NFR-006","TL-REMOVABLE-ADJUSTABLE"
"COV-WAY-ROOM-CLOUD-RELIABILITY","wayfinding","ROOM-CLOUD-RELIABILITY","WORLD_HUD_FALLBACK","Cloud + Reliability maps to Cloud DevOps & Platform Reliability","TPL-SERVICE-DETAIL;TPL-WORLD-SHELL;TPL-WORLD-HUD","SP-WORLD","VP-WORLD","MP-WORLD","Exact sign/title/route/room/ordinal and four release states","Premature open or missing formal title/canonical link fails","Canonical Quick Access and full formal title remain","UXTEST-003;UXTEST-038","Service content evidence owner and room activation","BP-NFR-006","TL-REMOVABLE-ADJUSTABLE"
"COV-WAY-ROOM-SECURITY-TRUST","wayfinding","ROOM-SECURITY-TRUST","WORLD_HUD_FALLBACK","Security + Trust maps to Security Privacy & Trust Engineering","TPL-SERVICE-DETAIL;TPL-WORLD-SHELL;TPL-WORLD-HUD","SP-WORLD","VP-WORLD","MP-WORLD","Exact sign/title/route/room/ordinal and four release states","Premature open assurance inflation or missing formal title fails","Canonical Quick Access and full formal title remain","UXTEST-003;UXTEST-038","Security review evidence owner and room activation","BP-NFR-006","TL-REMOVABLE-ADJUSTABLE"
