"primitive_id","primitive_name","primitive_category","interaction_class","required_anatomy","required_variants","stream_presence","pseudo_states","transactional_or_content_states","state_redundancy","responsive_and_mode_obligations","reference_templates_or_flows","source_decisions","source_requirements","source_ux_tests","source_actions","implementation_evidence_expectations","gated_facts"
"PRIM-029","Human availability indicator","ai_handoff","composite_interactive","plain availability state;scope if approved;request action only when explicitly available;Book and Contact fallback","not_offered;available;unavailable;suppressed;stale;unknown","S-HIGH;S-LOW;S-MEDIUM;S-SEMANTIC","base;hover;focus-visible;pressed;disabled","loading;pending;success;stale;error;offline;unavailable","visible text plus shape icon border pattern or position;never color only","No pulsing-only live cue;status text persists;forced colors;small layout wraps;Book remains independent","J-05;AF-02;SOF-01A;SOF-01B","D-025;D-026;D-035;D-036;D-016","FR-009;FR-010;DATA-010;UX-001","UXTEST-012;UXTEST-021;UXTEST-022;UXTEST-023;UXTEST-031","ACT-18;ACT-41;ACT-42","Reference explicit available and fail-safe unavailable states;later durable state versus presence evidence","Named staff;scope;owners;response expectation;availability policy remain gated"
"PRIM-030","Handoff request and conversation status","ai_handoff","composite_interactive","handoff summary;shared-data scope;consent reference;durable status;assigned role if approved;text thread controls;end or recovery;Book","requested;queued;accepted;text_active;ended;declined;expired;alert_failed","S-HIGH;S-LOW;S-MEDIUM;S-SEMANTIC","base;hover;focus-visible;pressed;disabled","loading;pending;success;error;offline;permission_denied;unavailable;stale","visible text plus shape icon border pattern or position;never color only","Text remains usable when media fails;status announcements queued;no auto-scroll trap;one-column reflow;forced-colors separation","J-05;AF-02;SOF-01C;SOF-01D;SOF-01E;SOF-01F;SOF-01G","D-025;D-026;D-035;D-036;D-016;D-017","FR-009;FR-010;FR-011;DATA-010;UX-001;SEC-002","UXTEST-012;UXTEST-013;UXTEST-032;UXTEST-033","ACT-18;ACT-44;ACT-45;ACT-46;ACT-47","Reference lifecycle and alert-failure variants;later one-request ownership audit and recovery evidence","Owners;assignment;decline/end reasons;escalation;response expectation remain gated"
"PRIM-031","Voice or video opt-in","ai_handoff","interactive","media type label;purpose;permission consequence;opt-in;decline;text fallback;caption and description availability","voice;video;permission_prompt;unsupported;held_alternatives","S-HIGH;S-LOW;S-MEDIUM;S-SEMANTIC","base;hover;focus-visible;pressed;disabled","not_asked;declined;granted;pending;error;unavailable;permission_denied","visible text plus shape icon border pattern or position;never color only","No automatic re-prompt;touch target minimum;forced-colors selection;reduced motion;decline preserves text and Book","AF-02","D-025;D-026;D-035;D-036;D-016","FR-011;UX-001;UX-007","UXTEST-013;UXTEST-021;UXTEST-022;UXTEST-039;UXTEST-041","ACT-19","Reference permission declined unsupported and held variants;later device permission and alternative-media evidence","Exact consent copy;media provider;rights;caption and description assets remain gated"
"PRIM-032","Booking progress stepper","booking","composite_interactive","flow heading;ordered steps;current step text;completed step text;error or blocked marker;back or edit action;status region","qualification;email;availability;review;pending;confirmed;reschedule;cancel","S-HIGH;S-LOW;S-MEDIUM;S-SEMANTIC","base;hover;focus-visible;pressed;disabled","current;complete;blocked;error;pending;confirmed;expired;offline;unavailable","visible text plus shape icon border pattern or position;never color only","Linearizes at narrow widths;does not require horizontal scroll;current state text and shape;no animation dependency;screen reader list semantics;any user time limit is removable or adjustable before it starts or warns with at least 20 seconds and permits a simple extension at least ten times or has a documented criterion-supported exception;preserve permitted data and last authoritative state;accessible reauthentication where applicable","J-01;BF-01A;BF-01B;BF-01C;BF-01D;BF-01E","D-025;D-026;D-035;D-036;D-005;D-016","BR-001;FR-004;FR-005;FR-006;FR-007;FR-019;UX-001","UXTEST-014;UXTEST-016;UXTEST-017;UXTEST-018;UXTEST-019;UXTEST-020;UXTEST-021;UXTEST-022;UXTEST-023;UXTEST-040;UXTEST-045","ACT-20;ACT-21;ACT-22;ACT-25;ACT-26;ACT-27;ACT-28;ACT-29;ACT-30;ACT-31","Reference for full booking lineage;later controlled-clock branch warning extension expiry focus status recovery state-machine route focus and no-skipped-step evidence","Exact step labels;provider;expiry duration;authorization;reschedule and cancel policy remain gated"
"PRIM-033","Email ownership challenge","booking","composite_interactive","state heading;masked destination only if approved;challenge control;verify;resend;change address;bounded guidance;status;time-limit warning and extension control when applicable","pending;expired;undeliverable;corrected;resent;verified;rate_limited;unknown","S-HIGH;S-LOW;S-MEDIUM;S-SEMANTIC","base;hover;focus-visible;pressed;disabled","loading;pending;success;error;expired;offline;unavailable;stale","visible text plus shape icon border pattern or position;never color only","Paste and assistive mechanisms allowed;no cognitive puzzle;any user time limit is removable or adjustable before it starts or warns with at least 20 seconds and permits a simple extension at least ten times or has a documented criterion-supported exception;preserve permitted data and last authoritative state;accessible reauthentication;one-column reflow;status announced without exposing account existence","BF-01B","D-025;D-026;D-035;D-036;D-005;D-016;D-018","FR-004;FR-019;UX-001;DATA-010;SEC-006","UXTEST-016;UXTEST-021;UXTEST-022;UXTEST-023;UXTEST-040;UXTEST-043","ACT-22;ACT-23;ACT-24;ACT-25","Reference for every challenge state;later controlled-clock branch warning extension expiry focus status recovery paste lineage privacy and rate-limit tests","Challenge method;exact expiry and resend timing;masking;provider;security guidance remain gated"
"PRIM-034","Availability calendar","booking","composite_interactive","heading;local timezone;period navigation;loading status;slot region;no-slot explanation;refresh;alternate help","day;week_or_period_pending_design;no_slots;provider_unavailable;owner_unavailable","S-HIGH;S-LOW;S-MEDIUM;S-SEMANTIC","base;hover;focus-visible;pressed;disabled","loading;empty;success;stale;error;offline;unavailable","visible text plus shape icon border pattern or position;never color only","Single-column date groups on narrow view;no two-dimensional calendar dependency;timezone always visible;keyboard and touch alternatives;forced-colors selected state","BF-01C","D-025;D-026;D-035;D-036;D-016","FR-006;FR-007;UX-001;UX-003;DATA-010","UXTEST-017;UXTEST-021;UXTEST-022;UXTEST-023;UXTEST-024;UXTEST-039","ACT-26","Reference loading no-slot stale and unavailable states;later timezone DST eligibility and provider evidence","Calendar provider;owners;backups;no-slot policy;future period bounds remain gated"
"PRIM-035","Booking slot option","booking","interactive","local date;local time;timezone;duration;availability state;selection control","available;selected;stale;unavailable","S-HIGH;S-LOW;S-MEDIUM;S-SEMANTIC","base;hover;focus-visible;pressed;disabled","selected;loading;stale;error;unavailable","visible text plus shape icon border pattern or position;never color only","List or grid reflows without time loss;target minimum;selected survives forced colors;screen reader name includes date time timezone and duration","BF-01C","D-025;D-026;D-035;D-036;D-016","FR-006;FR-007;UX-001;UX-003","UXTEST-017;UXTEST-021;UXTEST-022;UXTEST-023;UXTEST-024;UXTEST-039","ACT-26;ACT-27","Reference slot states and long timezone fixture;later DST same-instant and stale-selection tests","Owner identity;availability;provider;slot policy remain gated"
"PRIM-036","Booking review","booking","composite_interactive","heading;editable qualification summary;local date time timezone duration;consent purpose reference;edit links;submit;status","initial_booking;reschedule;cancel_review","S-HIGH;S-LOW;S-MEDIUM;S-SEMANTIC","base;hover;focus-visible;pressed;disabled","ready;loading;pending;error;offline;expired;permission_denied;unavailable","visible text plus shape icon border pattern or position;never color only","Definition-list or grouped summary reflows;no repeated required entry;focus follows edit return;forced-colors action hierarchy","BF-01A;BF-01C;BF-01D;BF-01E","D-025;D-026;D-035;D-036;D-005;D-016","FR-004;FR-007;FR-019;UX-001;DATA-010","UXTEST-014;UXTEST-018;UXTEST-020;UXTEST-021;UXTEST-022;UXTEST-023;UXTEST-042;UXTEST-045","ACT-21;ACT-27;ACT-28;ACT-30;ACT-31","Reference with long values and edit returns;later redundant-entry review correction confirmation and idempotency evidence","Exact consent copy;provider;owner;reschedule/cancel authorization and cutoff remain gated"
"PRIM-037","Booking pending confirmation and reconciliation","booking","composite_interactive","authoritative heading;lineage state;last confirmed truth;local time if confirmed;next step;status refresh;reschedule or cancel only if authorized;support route","not_submitted;pending;confirmed_qualified;reconciliation_error;reschedule_pending;cancel_pending;cancelled;failed","S-HIGH;S-LOW;S-MEDIUM;S-SEMANTIC","base;hover;focus-visible;pressed;disabled","loading;pending;confirmed;success;error;offline;expired;stale;unavailable","visible text plus shape icon border pattern or position;never color only","Pending and confirmed remain distinct without motion or color;status fits narrow view;live update controlled;print keeps lineage state;focus on changed heading only when appropriate;any user time limit is removable or adjustable before it starts or warns with at least 20 seconds and permits a simple extension at least ten times or has a documented criterion-supported exception;preserve permitted data and last authoritative state;accessible reauthentication;provider or system response timeout remains distinct","BF-01D;BF-01E;SOF-01I;SOF-01J","D-025;D-026;D-035;D-036;D-016;D-019","FR-007;FR-019;DATA-010;UX-001;SEC-002","UXTEST-018;UXTEST-019;UXTEST-020;UXTEST-022;UXTEST-023;UXTEST-024;UXTEST-035;UXTEST-040","ACT-28;ACT-29;ACT-30;ACT-31;ACT-49;ACT-50","Reference for every authoritative state;later controlled-clock branch warning extension expiry focus status recovery duplicate provider-timeout mismatch and reconciliation evidence","Provider;exact duration;next-step copy;attendance;support owner;response expectation;reschedule/cancel policy remain gated"
"PRIM-038","Contact form and status","actions_input","composite_interactive","verified channel area;purpose;consent and privacy slot;fields;submit;pending or success;failure recovery;Book","channels_held;form_if_approved;alternate_channel;booking_fallback","S-HIGH;S-LOW;S-MEDIUM;S-SEMANTIC","base;hover;focus-visible;pressed;disabled","loading;empty;pending;success;error;offline;unavailable;duplicate","visible text plus shape icon border pattern or position;never color only","One-column narrow;labels and errors associated;no address placeholder;unavailable channel leaves Book;forced-colors and screen-reader status","contact;CF-01;J-05","D-025;D-026;D-035;D-036;D-016;D-017","FR-005;DATA-010;UX-001;SEC-009","UXTEST-004;UXTEST-021;UXTEST-022;UXTEST-023;UXTEST-026;UXTEST-042","ACT-32","Reference held channel and form lifecycle;later idempotency privacy and verified-channel tests","Contact details;channel;owner;consent;privacy text;response expectation remain gated"
"PRIM-039","Modal dialog","overlay_immersive","composite_interactive","labelled title;description;content;primary and secondary action;close;status;time-limit warning and extension control when applicable","modal;alert_dialog_only_for_true_interrupt;nonmodal_preferred_when_possible","S-HIGH;S-LOW;S-MEDIUM;S-SEMANTIC","base;hover;focus-visible;pressed;disabled","opening;open;closing;error;permission_denied;unavailable","visible text plus shape icon border pattern or position;never color only","Fits at 320 CSS px and 400% zoom;scroll body without trapping content;initial focus documented;Escape and close return focus;forced-colors boundary;reduced-motion;any user time limit is removable or adjustable before it starts or warns with at least 20 seconds and permits a simple extension at least ten times or has a documented criterion-supported exception;preserve permitted data and last authoritative state;accessible reauthentication where applicable","FV-01;RV-01;AF-01;BF-01;PF-01","D-025;D-026;D-035;D-036","UX-001;UX-003;UX-004","UXTEST-005;UXTEST-006;UXTEST-021;UXTEST-022;UXTEST-023;UXTEST-024;UXTEST-039;UXTEST-040","ACT-01;ACT-03;ACT-11;ACT-40","Reference open close error states and focus map;later controlled-clock branch warning extension expiry focus status recovery keyboard screen-reader zoom and escape evidence","Whether any flow requires modality;final labels;exact timeout duration remains gated"
"PRIM-040","Drawer","overlay_immersive","composite_interactive","labelled title;navigation or content region;close;backdrop if modal;status;invoker relationship","navigation;directory;detail;staff_filter","S-HIGH;S-LOW;S-MEDIUM;S-SEMANTIC","base;hover;focus-visible;pressed;disabled","opening;open;closing;loading;error;offline;unavailable","visible text plus shape icon border pattern or position;never color only","May become inline region when space allows;focus behavior matches modal state;Escape and return;no focus clipping;reduced-motion direct state;forced colors","DF-01;FV-01;RV-01;SOF-01C","D-025;D-026;D-035;D-036","FR-014;UX-001;UX-003;UX-004","UXTEST-008;UXTEST-021;UXTEST-022;UXTEST-023;UXTEST-024;UXTEST-039","ACT-01;ACT-03;ACT-43","Reference modal and nonmodal anatomy;later viewport focus escape and state evidence","Exact drawer use by screen;filter set;final labels remain gated"
"PRIM-041","Context panel","overlay_immersive","composite_interactive","heading;location or route context;content;state and limitation;sources;canonical link;Book;close or back","semantic_inline;world_panel;staff_side_panel","S-HIGH;S-LOW;S-MEDIUM;S-SEMANTIC","base;hover;focus-visible;pressed;disabled","loading;held;stale;error;offline;permission_denied;unavailable;success","visible text plus shape icon border pattern or position;never color only","Inline on narrow where possible;World version remains DOM-based;focus entry and return;no canvas-only content;forced colors and reduced motion","J-02;J-03;J-04;DF-01;SOF-01C","D-025;D-026;D-035;D-036;D-008","FR-002;SEO-007;UX-002;UX-003;UX-005","UXTEST-003;UXTEST-007;UXTEST-021;UXTEST-022;UXTEST-023;UXTEST-024","ACT-05;ACT-08;ACT-12;ACT-13;ACT-43","Reference semantic and World equivalents;later checksum content action and focus parity","Panel content;room open state;sources;owners remain gated"
"PRIM-042","World onboarding and return choice","overlay_immersive","composite_interactive","heading;controls explanation;delivery stream control;audio-off state;AI and human help;Skip Intro;Skip Guide;Quick Access;Exit;Resume Reception Replay choices;time-limit warning and extension control when applicable;stream fieldset;stream legend naming delivery stream control and in-force stream;four native stream radio inputs sharing one name;separate always-present Apply submit button;persistent visible stream advisement inside fieldset before Apply in DOM reading and visual order","first_visit;return_valid;return_stale;reduced_motion;low_power","S-HIGH;S-LOW;S-MEDIUM","base;hover;focus-visible;pressed;disabled","loading;ready;error;stale;unavailable;offline;stream-in-force;stream-pending","visible text plus shape icon border pattern or position;never color only","Keyboard and screen reader before commitment;320 CSS px;400% zoom;reduced motion opens stable state;preference failure does not block;no modal on semantic routes;current latest two stable evergreen releases;Safari/iOS 16.4 minimum legacy floor;semantic Quick Access for below-floor or otherwise unsupported clients;any user time limit is removable or adjustable before it starts or warns with at least 20 seconds and permits a simple extension at least ten times or has a documented criterion-supported exception;preserve permitted data and last authoritative state;accessible reauthentication where applicable;stream group accessible name reports in-force stream until explicit submit;checked stream radio reports pending selection independently of in-force stream;stream radio names use peer vocabulary without lesser-choice labels;above-ceiling stream radios remain present with textual unavailability;Apply accessible name states it applies the selection and differs from group and radio names;stream selection by arrow Tab pointer or touch changes only checked state without applying reloading transitioning or other accessibility-tree changes;stream applies only on explicit Apply activation by Enter Space pointer or touch or native Enter submission of the same form;stream never applies on focus selection blur or timeout;stream advisement is programmatically associated with both fieldset and Apply;stream advisement explains re-entry into the chosen stream while preserving current location;stream advisement uses identical visible wording in every stream and is not tooltip title hover-only focus-only or accessible-description-only","FV-01;RV-01;J-02;EXCL-WORLD","D-025;D-026;D-035;D-036;D-012","FR-003;FR-012;FR-013;UX-002;UX-003;UX-004;UX-005;NFR-006;NFR-008","UXTEST-005;UXTEST-006;UXTEST-007;UXTEST-021;UXTEST-022;UXTEST-023;UXTEST-024;UXTEST-025;UXTEST-040","ACT-06;ACT-07;ACT-11;ACT-40","Reference all visit and preference states;later dated current-version browser matrix Safari mobile layout input and safe-area evidence unsupported-client recovery and controlled-clock branch warning extension expiry focus status recovery;Stream control review states announcements on group entry pending-radio change and reaching Apply;Stream advisement review covers sighted mouse keyboard without AT screen reader and 400% magnifier before operation","Exact onboarding copy;delivery streams;preference retention;exact timing details beyond approved target remain gated"
"PRIM-043","World HUD","overlay_immersive","composite_interactive","current location;directory and search;Quick Access;Book;accessibility;delivery stream control;audio;Exit;status region;stream fieldset;stream legend naming delivery stream control and in-force stream;four native stream radio inputs sharing one name;separate always-present Apply submit button;persistent visible stream advisement inside fieldset before Apply in DOM reading and visual order","reception;atrium;room;transition;reduced_motion;low_power;asset_failure","S-HIGH;S-LOW;S-MEDIUM","base;hover;focus-visible;pressed;disabled","loading;current;selected;pending;error;offline;unavailable;stale;stream-in-force;stream-pending","visible text plus shape icon border pattern or position;never color only","DOM-based and keyboard operable;visible at 400% zoom;does not obscure focus or content;touch targets;forced colors;audio and motion states textual;no canvas-only control;current latest two stable evergreen releases;Safari/iOS 16.4 minimum legacy floor;semantic Quick Access for below-floor or otherwise unsupported clients;stream group accessible name reports in-force stream until explicit submit;checked stream radio reports pending selection independently of in-force stream;stream radio names use peer vocabulary without lesser-choice labels;above-ceiling stream radios remain present with textual unavailability;Apply accessible name states it applies the selection and differs from group and radio names;stream selection by arrow Tab pointer or touch changes only checked state without applying reloading transitioning or other accessibility-tree changes;stream applies only on explicit Apply activation by Enter Space pointer or touch or native Enter submission of the same form;stream never applies on focus selection blur or timeout;stream advisement is programmatically associated with both fieldset and Apply;stream advisement explains re-entry into the chosen stream while preserving current location;stream advisement uses identical visible wording in every stream and is not tooltip title hover-only focus-only or accessible-description-only","J-02;DF-01;EXCL-WORLD","D-025;D-026;D-035;D-036;D-012","FR-003;FR-012;FR-014;SEO-007;UX-002;UX-003;UX-004;UX-005;UX-007;NFR-006","UXTEST-003;UXTEST-005;UXTEST-007;UXTEST-008;UXTEST-021;UXTEST-022;UXTEST-023;UXTEST-024;UXTEST-025;UXTEST-039;UXTEST-040","ACT-03;ACT-05;ACT-08;ACT-09;ACT-10;ACT-11;ACT-12","Reference every HUD control and failure state;later dated current-version browser matrix Safari mobile layout input and safe-area evidence unsupported-client recovery DOM canvas parity focus overlap and mode evidence;Stream control review states announcements on group entry pending-radio change and reaching Apply;Stream advisement review covers sighted mouse keyboard without AT screen reader and 400% magnifier before operation","Exact device tier thresholds U-03;World visual direction;room assets;audio content remain gated"
"PRIM-044","World escape and recovery","overlay_immersive","composite_interactive","plain failure heading;last safe location;failure class;Quick Access;canonical route;delivery stream control;retry;Book;stream fieldset;stream legend naming delivery stream control and in-force stream;four native stream radio inputs sharing one name;separate always-present Apply submit button;persistent visible stream advisement inside fieldset before Apply in DOM reading and visual order","unsupported;loader_timeout;asset_error;network_error;context_loss;memory_or_thermal;checksum_mismatch","S-HIGH;S-LOW;S-MEDIUM","base;hover;focus-visible;pressed;disabled","loading;error;offline;unavailable;stale;success_safe_route;stream-in-force;stream-pending","visible text plus shape icon border pattern or position;never color only","Available immediately;no animation delay;screen reader announcement;full semantic content route;unavailable asset and low-power authored states;focus moves to recovery heading;current latest two stable evergreen releases;Safari/iOS 16.4 minimum legacy floor;semantic Quick Access for below-floor or otherwise unsupported clients;stream group accessible name reports in-force stream until explicit submit;checked stream radio reports pending selection independently of in-force stream;stream radio names use peer vocabulary without lesser-choice labels;above-ceiling stream radios remain present with textual unavailability;Apply accessible name states it applies the selection and differs from group and radio names;stream selection by arrow Tab pointer or touch changes only checked state without applying reloading transitioning or other accessibility-tree changes;stream applies only on explicit Apply activation by Enter Space pointer or touch or native Enter submission of the same form;stream never applies on focus selection blur or timeout;stream advisement is programmatically associated with both fieldset and Apply;stream advisement explains re-entry into the chosen stream while preserving current location;stream advisement uses identical visible wording in every stream and is not tooltip title hover-only focus-only or accessible-description-only","J-02;DF-01;EXCL-WORLD","D-025;D-026;D-035;D-036;D-008;D-012","FR-003;FR-014;UX-002;UX-004;UX-005;NFR-002;NFR-006;NFR-007","UXTEST-003;UXTEST-007;UXTEST-021;UXTEST-022;UXTEST-023;UXTEST-024;UXTEST-025","ACT-05;ACT-06;ACT-07;ACT-08;ACT-09;ACT-12","Reference for every named failure class;later dated current-version browser matrix Safari mobile layout input and safe-area evidence unsupported-client classification semantic Quick Access recovery forced-failure context preservation and no-loop evidence;Stream control review states announcements on group entry pending-radio change and reaching Apply;Stream advisement review covers sighted mouse keyboard without AT screen reader and 400% magnifier before operation","3D assets;budgets;device thresholds;retry policy;visual scene remain gated"
"PRIM-045","Media player and alternatives","media_data","composite_interactive","media title;play pause stop;mute;captions;transcript;audio-description status or control;live-caption status;rights and held status;semantic alternative","audio_only;prerecorded_synchronized;live_synchronized;held;unsupported","S-HIGH;S-LOW;S-MEDIUM;S-SEMANTIC","base;hover;focus-visible;pressed;disabled","loading;playing;paused;ended;muted;captioned;described;permission_denied;error;offline;unavailable;held","visible text plus shape icon border pattern or position;never color only","Keyboard and screen reader complete;controls do not disappear;reduced motion;no autoplay sound;captions and transcript reflow;forced colors;missing alternative holds media only","J-04;AF-02","D-025;D-026;D-035;D-036;D-012;D-017","FR-011;PUB-006;UX-001;UX-007","UXTEST-013;UXTEST-021;UXTEST-022;UXTEST-023;UXTEST-024;UXTEST-025;UXTEST-040;UXTEST-041","ACT-10;ACT-19","Reference all media classes and alternative states;later captions transcript description timing permission and rights evidence","Media item;rights;captions;transcript;description applicability;provider remain gated"
"PRIM-046","Staff shell and task navigation","staff_publication","composite_interactive","staff identity and role;primary task navigation;current destination;session status;notifications;main landmark;sign out","author;reviewer;founder_approver;administrator;conversation_operator;booking_operator;audit_role","STREAM-SCOPE-EXCLUDED","base;hover;focus-visible;pressed;disabled","loading;active;permission_denied;expired;offline;error;unavailable","visible text plus shape icon border pattern or position;never color only","Responsive task navigation;keyboard skip path;focus visible;no private detail in collapsed labels or errors;forced colors;reauth preserves approved state","PF-01;SOF-01A;SOF-01B;SOF-01C;SOF-01D;SOF-01E;SOF-01F;SOF-01G;SOF-01H;SOF-01I;SOF-01J;SOF-01K;SOF-01L;SOF-01M;EXCL-ADMIN","D-025;D-026;D-035;D-036;D-018;D-019","FR-016;PUB-002;PUB-003;SEC-001;SEC-002;SEC-004;SEC-005;UX-001","UXTEST-021;UXTEST-022;UXTEST-023;UXTEST-024;UXTEST-027;UXTEST-031;UXTEST-032;UXTEST-036;UXTEST-037","ACT-33;ACT-34;ACT-35;ACT-36;ACT-37;ACT-40;ACT-41;ACT-42;ACT-43;ACT-44;ACT-45;ACT-46;ACT-47;ACT-48;ACT-49;ACT-50;ACT-51;ACT-52;ACT-53","Reference shells for each role and denied/expired states;later server-role keyboard session and privacy evidence","Exact role membership;privileges;staff names;routes;support process remain gated"
"PRIM-047","Staff availability toggle","staff_publication","interactive","current durable state;scope;toggle action;pending status;suppression reason;queued-work warning","available_on;available_off;delegate_if_approved;no_scope","STREAM-SCOPE-EXCLUDED","base;hover;focus-visible;pressed;disabled","pending;success;error;offline;permission_denied;unavailable;stale","visible text plus shape icon border pattern or position;never color only","Persistent text not switch color alone;keyboard and touch target;forced colors;pending fails safe off;no presence animation","SOF-01A;SOF-01B","D-025;D-026;D-035;D-036;D-016;D-018","FR-009;FR-010;DATA-010;SEC-001;SEC-002","UXTEST-012;UXTEST-021;UXTEST-022;UXTEST-031;UXTEST-039","ACT-41;ACT-42","Reference all fail-safe states;later durable versus presence authorization idempotency and audit evidence","Scope;delegates;owner;availability policy;Teams behavior remain gated"
"PRIM-048","Staff queue","staff_publication","composite_interactive","queue heading;bounded filters;sort if approved;count or unknown state;rows;loading;empty;error;refresh","conversation;alert_exception;assignment;booking_reconciliation;booking_exception;evidence_SEO;knowledge;audit","STREAM-SCOPE-EXCLUDED","base;hover;focus-visible;pressed;disabled","loading;empty;success;error;offline;permission_denied;stale;unavailable","visible text plus shape icon border pattern or position;never color only","Table and responsive list parity;filters local unless approved;focus order;no two-dimensional scroll without list;derived index failure falls back to durable retrieval","SOF-01C;SOF-01G;SOF-01H;SOF-01I;SOF-01J;SOF-01K;SOF-01L;SOF-01M","D-025;D-026;D-035;D-036;D-018;D-019","FR-010;FR-016;DATA-010;SEC-001;SEC-002;UX-001","UXTEST-021;UXTEST-022;UXTEST-023;UXTEST-027;UXTEST-032;UXTEST-033;UXTEST-034;UXTEST-035;UXTEST-036;UXTEST-037","ACT-43;ACT-47;ACT-48;ACT-49;ACT-50;ACT-51;ACT-52;ACT-53","Reference each queue including empty versus unavailable;later role data-minimization freshness and action routing evidence","Queue ownership;filters;sort;SLA;escalation;provider fields remain gated"
"PRIM-049","Staff work-item detail","staff_publication","composite_interactive","item heading;authoritative state;minimum context;consent or evidence references;assignment and version;allowed actions;history;recovery","handoff;conversation;alert;assignment;booking;publication;knowledge","STREAM-SCOPE-EXCLUDED","base;hover;focus-visible;pressed;disabled","loading;pending;success;error;offline;permission_denied;stale;conflict;unavailable;empty","visible text plus shape icon border pattern or position;never color only","Single-column narrow;sections and headings;no secret or unnecessary chat content;focus on updated state;forced colors;read-only mode explicit","SOF-01C;SOF-01D;SOF-01E;SOF-01F;SOF-01G;SOF-01H;SOF-01I;SOF-01J;SOF-01K;SOF-01L","D-025;D-026;D-035;D-036;D-016;D-018;D-019","FR-010;FR-016;PUB-002;PUB-003;DATA-010;SEC-001;SEC-002","UXTEST-027;UXTEST-032;UXTEST-033;UXTEST-034;UXTEST-035;UXTEST-036","ACT-43;ACT-44;ACT-45;ACT-46;ACT-47;ACT-48;ACT-49;ACT-50;ACT-51;ACT-52","Reference each work type with stale conflict and denied role;later authorization idempotency audit and privacy evidence","Exact data fields;role permissions;reason taxonomy;escalation;providers remain gated"
"PRIM-050","Version and checksum display","staff_publication","status_announced","human-readable version label;short display checksum;full accessible value or reveal;current versus stale state;refresh","draft_version;candidate_checksum;active_release_checksum;grounding_bundle_checksum;stale_mismatch","S-HIGH;S-LOW;S-MEDIUM;S-SEMANTIC","not_applicable","current;stale;mismatched;pending;error;unavailable","visible text plus shape icon border pattern or position;never color only","Monospace is supplemental;wrap or copy affordance later;not color only;screen reader gets unambiguous groups;print remains legible","PF-01;SOF-01C;SOF-01K;SOF-01L;SOF-01M","D-025;D-026;D-035;D-036;D-019","FR-002;PUB-001;PUB-002;PUB-004;PUB-005;AI-001;UX-001","UXTEST-003;UXTEST-028;UXTEST-029;UXTEST-036;UXTEST-037","ACT-35;ACT-36;ACT-37;ACT-38;ACT-39;ACT-43;ACT-51;ACT-52;ACT-53","Reference current stale mismatch states;later exact comparison announcement and integrity evidence","Actual version values;release state;copy control;retention remain gated"
"PRIM-051","Staff decision controls","staff_publication","composite_interactive","decision context;current version;actor role;permitted actions;reason or findings field when approved;confirmation;pending and result","accept;decline;end;assign;reconcile;hold;escalate;pass;request_changes;approve;reject;activate","STREAM-SCOPE-EXCLUDED","base;hover;focus-visible;pressed;disabled","ready;pending;success;error;permission_denied;stale;conflict;offline;unavailable","visible text plus shape icon border pattern or position;never color only","Actions remain distinct at narrow widths;destructive action not inferred from color;keyboard order;confirmation review;forced-colors;pending disables duplicate only","PF-01;SOF-01D;SOF-01E;SOF-01F;SOF-01G;SOF-01H;SOF-01I;SOF-01J;SOF-01K;SOF-01L","D-025;D-026;D-035;D-036;D-018;D-019","FR-010;FR-016;PUB-002;PUB-003;DATA-010;SEC-001;SEC-002","UXTEST-027;UXTEST-029;UXTEST-032;UXTEST-033;UXTEST-034;UXTEST-035;UXTEST-036;UXTEST-039","ACT-36;ACT-37;ACT-39;ACT-44;ACT-45;ACT-46;ACT-47;ACT-48;ACT-49;ACT-50;ACT-51;ACT-52","Reference every decision and denied/stale state;later negative-role version idempotency and audit evidence","Exact permissions;reason taxonomy;escalation;approval policy;destructive semantics remain gated"
"PRIM-052","Publication draft editor","staff_publication","composite_interactive","route intent;content type;owner slot;evidence and claim references;rights and provenance;metadata;relationships;accessibility needs;save;submit;issue list","new_draft;editing;saved;conflict;held;ready_for_review","STREAM-SCOPE-EXCLUDED","base;hover;focus-visible;pressed;disabled","loading;dirty;saving;success;error;offline;expired;permission_denied;stale;conflict","visible text plus shape icon border pattern or position;never color only","Responsive sections;keyboard headings;long content and source references;reauth without overwrite;unavailable font;forced colors;no draft content in public shell","PF-01;EXCL-NONPUBLIC-PUBLICATION","D-025;D-026;D-035;D-036;D-019","PUB-002;PUB-003;PUB-004;PUB-006;SEC-001;SEC-002;SEC-004;UX-001","UXTEST-021;UXTEST-022;UXTEST-023;UXTEST-027;UXTEST-028;UXTEST-042;UXTEST-043","ACT-34;ACT-35","Reference save conflict expiry and validation variants;later autosave policy version merge authorization and draft-isolation evidence","Editor fields;owners;rights;exact metadata;autosave and merge policy remain gated"
